sec,BP-S,
0.007,231094615,
0.021,40920016,
0.035,40808883,
0.047,40684828,
0.059,40633587,
0.071,40592340,
0.084,40582493,
0.094,40551248,
0.106,40550059,
0.117,40549757,
0.127,40549757,
0.140,40549707,
0.150,40549707,
0.163,40549707,
0.175,40549707,
0.187,40549707,
0.198,40549707,
0.212,40549707,
0.223,40549707,
0.235,40549707,
0.246,40549707,
0.255,40549707,
0.266,40549707,
0.278,40549707,
0.292,40549707,
0.302,40549707,
0.313,40549707,
0.324,40549707,
0.338,40549707,
0.349,40549707,
0.362,40549707,
0.373,40549707,
0.382,40549707,
0.394,40549707,
0.406,40549707,
0.417,40549707,
0.428,40549707,
0.441,40549707,
0.454,40549707,
0.466,40549707,
0.478,40549707,
0.490,40549707,
0.503,40549707,
0.517,40549707,
0.528,40549707,
0.541,40549707,
0.553,40549707,
0.566,40549707,
0.577,40549707,
0.589,40549707,
0.601,40549707,
0.613,40549707,
0.625,40549707,
0.636,40549707,
0.644,40549707,
0.654,40549707,
0.664,40549707,
0.676,40549707,
0.687,40549707,
0.698,40549707,
0.711,40549707,
0.722,40549707,
0.731,40549707,
0.740,40549707,
0.749,40549707,
0.761,40549707,
0.772,40549707,
0.782,40549707,
0.792,40549707,
0.803,40549707,
0.812,40549707,
0.824,40549707,
0.837,40549707,
0.849,40549707,
0.861,40549707,
0.871,40549707,
0.881,40549707,
0.894,40549707,
0.907,40549707,
0.921,40549707,
0.933,40549707,
0.944,40549707,
0.956,40549707,
0.966,40549707,
0.978,40549707,
0.989,40549707,
0.999,40549707,
1.010,40549707,
1.022,40549707,
1.037,40549707,
1.048,40549707,
1.061,40549707,
1.073,40549707,
1.083,40549707,
1.093,40549707,
1.104,40549707,
1.115,40549707,
1.126,40549707,
1.137,40549707,
1.147,40549707,
1.157,40549707,
1.170,40549707,
1.183,40549707,
1.196,40549707,
1.209,40549707,
1.222,40549707,
1.233,40549707,
1.243,40549707,
1.255,40549707,
1.268,40549707,
1.280,40549707,
1.293,40549707,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
