sec,Dual Decomposition,
0.077,231094615,
0.419,45525014,
0.797,45517404,
1.102,45517952,
1.455,45517952,
1.844,45517789,
2.187,45517952,
2.490,45517789,
2.809,45517952,
3.116,45517789,
3.432,45517952,
3.777,45517789,
4.122,45517952,
4.440,45517789,
4.752,45517952,
5.041,45517789,
5.374,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.682,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
5.683,45517952,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
