sec,TRW-S,lowerBound,
0.010,231094615,,
0.021,40640906,0.0,
0.036,40582010,0.0,
0.052,40565383,0.0,
0.067,40546694,0.0,
0.080,40524576,0.0,
0.095,40523322,0.0,
0.110,40520302,0.0,
0.124,40518923,0.0,
0.136,40518923,0.0,
0.152,40516769,0.0,
0.165,40516310,0.0,
0.181,40515954,0.0,
0.196,40515568,0.0,
0.210,40513251,0.0,
0.227,40513251,0.0,
0.239,40513169,0.0,
0.254,40513169,0.0,
0.268,40513250,0.0,
0.280,40513250,0.0,
0.293,40513250,0.0,
0.307,40513250,0.0,
0.322,40513055,0.0,
0.337,40513055,0.0,
0.354,40513055,0.0,
0.369,40513055,0.0,
0.383,40513055,0.0,
0.398,40513055,0.0,
0.412,40513055,0.0,
0.427,40513055,0.0,
0.442,40513055,0.0,
0.457,40512707,0.0,
0.471,40512707,0.0,
0.486,40512719,0.0,
0.501,40511477,0.0,
0.517,40511477,0.0,
0.533,40511477,0.0,
0.545,40511477,0.0,
0.560,40511477,0.0,
0.576,40511640,0.0,
0.591,40511640,0.0,
0.608,40511640,0.0,
0.621,40511640,0.0,
0.634,40511640,0.0,
0.651,40511640,0.0,
0.664,40511640,0.0,
0.678,40511640,0.0,
0.692,40511640,0.0,
0.708,40511274,0.0,
0.722,40511274,0.0,
0.738,40511274,0.0,
0.753,40511274,0.0,
0.768,40511274,0.0,
0.781,40511274,0.0,
0.796,40511274,0.0,
0.810,40511274,0.0,
0.824,40511274,0.0,
0.841,40511274,0.0,
0.856,40511274,0.0,
0.871,40511274,0.0,
0.886,40511274,0.0,
0.901,40511274,0.0,
0.915,40511274,0.0,
0.932,40511274,0.0,
0.945,40511274,0.0,
0.960,40511274,0.0,
0.974,40511274,0.0,
0.990,40511274,0.0,
1.005,40511274,0.0,
1.020,40511274,0.0,
1.035,40511274,0.0,
1.050,40511274,0.0,
1.064,40511274,0.0,
1.081,40511274,0.0,
1.096,40511274,0.0,
1.111,40511274,0.0,
1.125,40511274,0.0,
1.139,40511274,0.0,
