sec,BP-S,
0.007,225583004,
0.021,31618178,
0.034,31432314,
0.046,31344484,
0.060,31260002,
0.074,31197673,
0.088,31153131,
0.096,31090264,
0.106,31058179,
0.115,31022854,
0.128,30984880,
0.140,30963923,
0.153,30945572,
0.167,30928705,
0.181,30910525,
0.194,30895598,
0.206,30851516,
0.221,30849400,
0.235,30846336,
0.246,30842803,
0.255,30840605,
0.267,30833623,
0.277,30829901,
0.285,30829315,
0.298,30827479,
0.311,30823895,
0.324,30821878,
0.337,30820313,
0.352,30818674,
0.366,30817933,
0.379,30817467,
0.390,30817467,
0.402,30817467,
0.415,30817467,
0.424,30817467,
0.438,30817467,
0.452,30817467,
0.466,30817467,
0.480,30817467,
0.493,30817467,
0.506,30817467,
0.519,30817467,
0.528,30817467,
0.538,30817467,
0.550,30817467,
0.563,30817467,
0.576,30817467,
0.585,30817467,
0.597,30817467,
0.606,30817467,
0.614,30817467,
0.623,30817467,
0.632,30817467,
0.645,30817467,
0.656,30817467,
0.668,30817467,
0.678,30817467,
0.691,30817467,
0.704,30817467,
0.715,30817467,
0.728,30817467,
0.742,30817467,
0.754,30817467,
0.765,30817467,
0.775,30817467,
0.785,30817467,
0.794,30817467,
0.806,30817467,
0.819,30817467,
0.832,30817467,
0.844,30817467,
0.856,30817467,
0.869,30817467,
0.882,30817467,
0.892,30817467,
0.905,30817467,
0.915,30817467,
0.926,30817467,
0.939,30817467,
0.948,30817467,
0.959,30817467,
0.968,30817467,
0.978,30817467,
0.992,30817467,
1.006,30817467,
1.019,30817467,
1.033,30817467,
1.041,30817467,
1.054,30817467,
1.066,30817467,
1.076,30817467,
1.085,30817467,
1.097,30817467,
1.109,30817467,
1.122,30817467,
1.134,30817467,
1.147,30817467,
1.159,30817467,
1.171,30817467,
1.181,30817467,
1.194,30817467,
1.207,30817467,
1.220,30817467,
1.232,30817467,
1.245,30817467,
1.258,30817467,
1.271,30817467,
1.285,30817467,
1.298,30817467,
1.312,30817467,
1.325,30817467,
1.339,30817467,
1.352,30817467,
1.365,30817467,
1.378,30817467,
1.390,30817467,
1.403,30817467,
1.416,30817467,
1.430,30817467,
1.444,30817467,
1.458,30817467,
1.471,30817467,
1.483,30817467,
1.496,30817467,
1.510,30817467,
1.523,30817467,
1.537,30817467,
1.550,30817467,
1.562,30817467,
1.574,30817467,
1.586,30817467,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
