sec,Dual Decomposition,
0.100,225583004,
0.558,33350484,
0.934,33349827,
1.373,33350005,
1.803,33350005,
2.221,33351533,
2.652,33350005,
3.084,33351783,
3.501,33350005,
3.894,33351783,
4.326,33350005,
4.789,33351783,
5.246,33350005,
5.694,33351783,
6.155,33350005,
6.618,33351783,
7.080,33350005,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
7.508,33351783,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
