sec,TRW-S,lowerBound,
0.011,225583004,,
0.022,30880260,0.0,
0.037,30856396,0.0,
0.051,30852097,0.0,
0.066,30849829,0.0,
0.078,30848397,0.0,
0.089,30837486,0.0,
0.102,30836370,0.0,
0.116,30829318,0.0,
0.130,30828869,0.0,
0.143,30826499,0.0,
0.156,30826398,0.0,
0.169,30826386,0.0,
0.181,30825277,0.0,
0.196,30824085,0.0,
0.213,30823970,0.0,
0.228,30823829,0.0,
0.242,30823820,0.0,
0.256,30823515,0.0,
0.267,30823510,0.0,
0.281,30823118,0.0,
0.293,30823490,0.0,
0.308,30823059,0.0,
0.321,30822823,0.0,
0.336,30823073,0.0,
0.350,30815802,0.0,
0.364,30815763,0.0,
0.379,30815648,0.0,
0.394,30808593,0.0,
0.409,30808581,0.0,
0.423,30808390,0.0,
0.436,30808333,0.0,
0.451,30807318,0.0,
0.464,30807318,0.0,
0.477,30807278,0.0,
0.491,30807212,0.0,
0.506,30807212,0.0,
0.520,30807212,0.0,
0.534,30807062,0.0,
0.549,30807062,0.0,
0.563,30807059,0.0,
0.577,30807037,0.0,
0.592,30807036,0.0,
0.606,30807036,0.0,
0.620,30807036,0.0,
0.634,30807036,0.0,
0.649,30807036,0.0,
0.664,30807036,0.0,
0.679,30807036,0.0,
0.694,30807036,0.0,
0.708,30807036,0.0,
0.722,30807112,0.0,
0.737,30807034,0.0,
0.751,30807034,0.0,
0.766,30807034,0.0,
0.781,30807034,0.0,
0.792,30807034,0.0,
0.804,30807034,0.0,
0.816,30807034,0.0,
0.830,30806509,0.0,
0.844,30806216,0.0,
0.854,30806216,0.0,
0.865,30806216,0.0,
0.878,30806216,0.0,
0.892,30806066,0.0,
0.906,30806066,0.0,
0.919,30806066,0.0,
0.933,30806066,0.0,
0.945,30806066,0.0,
0.959,30806066,0.0,
0.973,30806066,0.0,
0.986,30806066,0.0,
1.003,30806066,0.0,
1.021,30806066,0.0,
1.040,30806066,0.0,
1.053,30806066,0.0,
1.070,30806066,0.0,
1.086,30806066,0.0,
1.106,30806066,0.0,
1.121,30806066,0.0,
1.138,30806066,0.0,
1.155,30806066,0.0,
1.172,30806066,0.0,
1.190,30806066,0.0,
1.208,30806066,0.0,
1.225,30806066,0.0,
1.243,30806066,0.0,
1.260,30806066,0.0,
1.277,30806019,0.0,
1.293,30806019,0.0,
1.310,30806019,0.0,
1.326,30805943,0.0,
1.343,30805943,0.0,
1.359,30805943,0.0,
1.375,30805943,0.0,
1.391,30805943,0.0,
1.408,30805943,0.0,
1.424,30805943,0.0,
1.441,30805943,0.0,
1.457,30805943,0.0,
1.473,30805943,0.0,
1.488,30805943,0.0,
1.502,30805943,0.0,
1.516,30805943,0.0,
1.529,30805943,0.0,
1.545,30805943,0.0,
1.559,30805943,0.0,
1.574,30805943,0.0,
1.587,30805943,0.0,
1.599,30805943,0.0,
1.613,30805943,0.0,
1.627,30805943,0.0,
1.641,30805943,0.0,
1.655,30805943,0.0,
1.667,30805943,0.0,
1.683,30805947,0.0,
1.697,30805947,0.0,
1.710,30805947,0.0,
1.725,30805947,0.0,
1.739,30805947,0.0,
1.753,30805947,0.0,
1.768,30805947,0.0,
1.779,30805947,0.0,
1.795,30805947,0.0,
1.806,30805947,0.0,
1.818,30804852,0.0,
1.831,30804852,0.0,
1.845,30804852,0.0,
1.858,30804852,0.0,
1.868,30804852,0.0,
1.878,30804852,0.0,
1.888,30804852,0.0,
1.899,30804852,0.0,
1.910,30804852,0.0,
1.922,30804852,0.0,
1.934,30804852,0.0,
1.948,30804852,0.0,
1.962,30804852,0.0,
1.976,30804852,0.0,
1.990,30804852,0.0,
2.004,30804852,0.0,
2.017,30804852,0.0,
2.029,30804852,0.0,
2.043,30804852,0.0,
2.058,30804852,0.0,
2.070,30804852,0.0,
2.083,30804852,0.0,
2.093,30804852,0.0,
2.104,30804852,0.0,
2.115,30804852,0.0,
2.129,30804852,0.0,
2.144,30804852,0.0,
2.158,30804852,0.0,
2.172,30804852,0.0,
2.186,30804852,0.0,
2.201,30804852,0.0,
2.213,30804852,0.0,
2.229,30804852,0.0,
2.244,30804852,0.0,
2.259,30804852,0.0,
2.272,30804852,0.0,
2.286,30804852,0.0,
2.299,30804852,0.0,
2.312,30804852,0.0,
2.325,30804852,0.0,
2.339,30804852,0.0,
2.354,30804852,0.0,
2.368,30804852,0.0,
2.382,30804852,0.0,
2.396,30804852,0.0,
2.406,30804852,0.0,
2.418,30804852,0.0,
2.429,30804852,0.0,
2.442,30804852,0.0,
2.456,30804852,0.0,
2.469,30804852,0.0,
2.481,30804852,0.0,
2.494,30804852,0.0,
2.505,30804852,0.0,
2.516,30804852,0.0,
2.528,30804852,0.0,
2.541,30804852,0.0,
2.555,30804852,0.0,
2.568,30804852,0.0,
2.581,30804852,0.0,
2.595,30804852,0.0,
2.608,30804852,0.0,
2.622,30804852,0.0,
2.635,30804852,0.0,
2.650,30804852,0.0,
2.666,30804852,0.0,
2.679,30804852,0.0,
2.693,30804852,0.0,
2.708,30804852,0.0,
2.724,30804852,0.0,
2.739,30804852,0.0,
2.752,30804852,0.0,
2.768,30804852,0.0,
2.784,30804852,0.0,
2.798,30804852,0.0,
2.811,30804852,0.0,
2.826,30804852,0.0,
2.841,30804852,0.0,
2.857,30804852,0.0,
2.872,30804852,0.0,
2.887,30804852,0.0,
2.901,30804852,0.0,
2.915,30804852,0.0,
2.929,30804852,0.0,
2.941,30804852,0.0,
2.953,30804852,0.0,
2.967,30804852,0.0,
2.981,30804852,0.0,
2.994,30804852,0.0,
3.008,30804852,0.0,
3.021,30804852,0.0,
3.035,30804852,0.0,
3.051,30804852,0.0,
3.066,30804852,0.0,
3.081,30804852,0.0,
3.096,30804852,0.0,
3.110,30804852,0.0,
3.125,30804852,0.0,
3.140,30804852,0.0,
3.154,30804852,0.0,
3.167,30804852,0.0,
3.182,30804852,0.0,
3.196,30804852,0.0,
3.211,30804852,0.0,
3.226,30804852,0.0,
3.240,30804852,0.0,
3.253,30804852,0.0,
3.263,30804852,0.0,
3.278,30804852,0.0,
3.292,30804852,0.0,
3.305,30804852,0.0,
3.317,30804852,0.0,
3.332,30804852,0.0,
3.345,30804852,0.0,
3.361,30804852,0.0,
3.375,30804852,0.0,
3.388,30804852,0.0,
3.399,30804852,0.0,
3.410,30804852,0.0,
3.422,30804852,0.0,
3.436,30804852,0.0,
3.451,30804852,0.0,
3.464,30804852,0.0,
3.476,30804852,0.0,
3.491,30804852,0.0,
3.505,30804852,0.0,
3.519,30804852,0.0,
3.533,30804852,0.0,
3.548,30804852,0.0,
3.561,30804852,0.0,
3.575,30804852,0.0,
3.586,30804852,0.0,
3.600,30804852,0.0,
3.615,30804852,0.0,
3.628,30804852,0.0,
3.644,30804852,0.0,
3.659,30804852,0.0,
3.673,30804852,0.0,
3.686,30804852,0.0,
3.699,30804852,0.0,
3.711,30804852,0.0,
3.726,30804852,0.0,
3.742,30804852,0.0,
3.757,30804852,0.0,
3.773,30804852,0.0,
3.784,30804852,0.0,
3.797,30804852,0.0,
3.812,30804852,0.0,
3.826,30804852,0.0,
3.841,30804852,0.0,
3.856,30804852,0.0,
3.871,30804852,0.0,
3.887,30804852,0.0,
3.902,30804852,0.0,
3.916,30804852,0.0,
3.926,30804852,0.0,
3.941,30804852,0.0,
3.953,30804852,0.0,
3.968,30804852,0.0,
3.979,30804852,0.0,
3.991,30804852,0.0,
4.006,30804852,0.0,
4.021,30804852,0.0,
4.032,30804852,0.0,
4.047,30804852,0.0,
4.060,30804852,0.0,
4.075,30804852,0.0,
4.090,30804852,0.0,
4.103,30804852,0.0,
4.116,30804852,0.0,
4.131,30804852,0.0,
4.146,30804852,0.0,
4.161,30804852,0.0,
4.175,30804852,0.0,
4.190,30804852,0.0,
4.201,30804852,0.0,
4.213,30804852,0.0,
4.228,30804852,0.0,
4.243,30804852,0.0,
4.258,30804852,0.0,
4.273,30804852,0.0,
4.288,30804852,0.0,
4.303,30804852,0.0,
4.316,30804852,0.0,
4.328,30804852,0.0,
4.341,30804852,0.0,
4.355,30804852,0.0,
4.369,30804852,0.0,
4.383,30804852,0.0,
4.397,30804852,0.0,
4.409,30804852,0.0,
4.421,30804852,0.0,
4.432,30804852,0.0,
4.443,30804852,0.0,
4.457,30804852,0.0,
4.470,30804852,0.0,
4.481,30804852,0.0,
4.492,30804852,0.0,
4.506,30804852,0.0,
4.518,30804852,0.0,
4.532,30804852,0.0,
4.545,30804852,0.0,
4.556,30804852,0.0,
4.567,30804852,0.0,
4.579,30804852,0.0,
4.593,30804852,0.0,
4.609,30804852,0.0,
4.624,30804852,0.0,
4.639,30804852,0.0,
4.653,30804852,0.0,
4.668,30804852,0.0,
4.683,30804852,0.0,
4.698,30804852,0.0,
4.713,30804852,0.0,
4.727,30804852,0.0,
4.741,30804852,0.0,
4.756,30804852,0.0,
4.771,30804852,0.0,
4.787,30804852,0.0,
4.800,30804852,0.0,
4.815,30804852,0.0,
4.828,30804852,0.0,
4.843,30804852,0.0,
4.858,30804852,0.0,
4.874,30804852,0.0,
4.889,30804852,0.0,
4.902,30804852,0.0,
4.917,30804852,0.0,
4.931,30804852,0.0,
4.945,30804852,0.0,
4.961,30804852,0.0,
4.976,30804852,0.0,
4.990,30804852,0.0,
5.004,30804852,0.0,
5.019,30804852,0.0,
5.031,30804852,0.0,
5.043,30804852,0.0,
5.055,30804852,0.0,
5.068,30804852,0.0,
5.084,30804852,0.0,
5.098,30804852,0.0,
5.113,30804852,0.0,
5.128,30804852,0.0,
5.140,30804852,0.0,
5.154,30804852,0.0,
5.168,30804852,0.0,
5.179,30804852,0.0,
5.191,30804852,0.0,
5.205,30804852,0.0,
5.220,30804852,0.0,
5.235,30804852,0.0,
5.248,30804852,0.0,
5.258,30804852,0.0,
5.272,30804852,0.0,
5.287,30804852,0.0,
5.302,30804852,0.0,
5.317,30804852,0.0,
5.332,30804852,0.0,
5.347,30804852,0.0,
5.362,30804852,0.0,
5.374,30804852,0.0,
5.390,30804852,0.0,
5.401,30804852,0.0,
5.413,30804852,0.0,
5.424,30804852,0.0,
5.438,30804852,0.0,
5.452,30804852,0.0,
5.465,30804852,0.0,
5.478,30804852,0.0,
5.490,30804852,0.0,
5.504,30804852,0.0,
5.519,30804852,0.0,
5.533,30804852,0.0,
5.547,30804852,0.0,
5.561,30804852,0.0,
5.576,30804852,0.0,
5.590,30804852,0.0,
5.605,30804852,0.0,
5.620,30804852,0.0,
5.634,30804852,0.0,
5.649,30804852,0.0,
5.661,30804852,0.0,
5.673,30804852,0.0,
5.685,30804852,0.0,
5.700,30804852,0.0,
5.716,30804852,0.0,
5.730,30804852,0.0,
5.743,30804852,0.0,
5.757,30804852,0.0,
5.768,30804852,0.0,
5.783,30804852,0.0,
5.798,30804852,0.0,
5.813,30804852,0.0,
5.828,30804852,0.0,
5.843,30804852,0.0,
5.857,30804852,0.0,
5.869,30804852,0.0,
