./binary data/person.txt person 
******* Running ICM for up to 500 x 5 iterations
writing runtimes to person-ICM.csv
Energy = 225583004 (Ed=225583004, Es=0) at start (0.001 secs init)
Energy = 49753984 (Ed=48518506, Es=1235478), 0.073 secs
Energy = 47088952 (Ed=45883690, Es=1205262), 0.144 secs
Energy = 45090756 (Ed=43934270, Es=1156486), 0.203 secs
Energy = 43258769 (Ed=42145180, Es=1113589), 0.267 secs
Energy = 42241624 (Ed=41177118, Es=1064506), 0.327 secs
Energy = 41660844 (Ed=40621622, Es=1039222), 0.393 secs
Energy = 41249510 (Ed=40211001, Es=1038509), 0.453 secs
Energy = 40977099 (Ed=39939444, Es=1037655), 0.521 secs
Energy = 40772095 (Ed=39746266, Es=1025829), 0.590 secs
Energy = 40647080 (Ed=39629598, Es=1017482), 0.649 secs
Energy = 40582608 (Ed=39573667, Es=1008941), 0.716 secs
Energy = 40565803 (Ed=39557190, Es=1008613), 0.783 secs
Energy = 40559184 (Ed=39550563, Es=1008621), 0.845 secs
Energy = 40554555 (Ed=39545942, Es=1008613), 0.906 secs
Energy = 40550240 (Ed=39541616, Es=1008624), 0.977 secs
Energy = 40545465 (Ed=39537224, Es=1008241), 1.037 secs
Energy = 40542159 (Ed=39533833, Es=1008326), 1.110 secs
Energy = 40538872 (Ed=39530673, Es=1008199), 1.184 secs
Energy = 40537197 (Ed=39529014, Es=1008183), 1.258 secs
Energy = 40537197 (Ed=39529014, Es=1008183), 1.330 secs
******* Running Expansion for up to 500 x 1 iterations
writing runtimes to person-Expansion.csv
Energy = 225583004 (Ed=225583004, Es=0) at start (0.001 secs init)
Energy = 30804852 (Ed=30157043, Es=647809), 0.126 secs
Energy = 30804852 (Ed=30157043, Es=647809), 0.237 secs
******* Running Swap for up to 500 x 1 iterations
writing runtimes to person-Swap.csv
Energy = 225583004 (Ed=225583004, Es=0) at start (0.001 secs init)
Energy = 30804852 (Ed=30157043, Es=647809), 0.088 secs
Energy = 30804852 (Ed=30157043, Es=647809), 0.175 secs
******* Running TRW-S for up to 500 x 1 iterations
writing runtimes to person-TRW-S.csv
Energy = 225583004 (Ed=225583004, Es=0) at start (0.011 secs init)
Energy = 30880260 (Ed=30222074, Es=658186), lower bound = 0.0, 0.022 secs
Energy = 30856396 (Ed=30202877, Es=653519), lower bound = 0.0, 0.037 secs
Energy = 30852097 (Ed=30198022, Es=654075), lower bound = 0.0, 0.051 secs
Energy = 30849829 (Ed=30195003, Es=654826), lower bound = 0.0, 0.066 secs
Energy = 30848397 (Ed=30194080, Es=654317), lower bound = 0.0, 0.078 secs
Energy = 30837486 (Ed=30184840, Es=652646), lower bound = 0.0, 0.089 secs
Energy = 30836370 (Ed=30184007, Es=652363), lower bound = 0.0, 0.102 secs
Energy = 30829318 (Ed=30180999, Es=648319), lower bound = 0.0, 0.116 secs
Energy = 30828869 (Ed=30181118, Es=647751), lower bound = 0.0, 0.130 secs
Energy = 30826499 (Ed=30180215, Es=646284), lower bound = 0.0, 0.143 secs
Energy = 30826398 (Ed=30180003, Es=646395), lower bound = 0.0, 0.156 secs
Energy = 30826386 (Ed=30179553, Es=646833), lower bound = 0.0, 0.169 secs
Energy = 30825277 (Ed=30180300, Es=644977), lower bound = 0.0, 0.181 secs
Energy = 30824085 (Ed=30179817, Es=644268), lower bound = 0.0, 0.196 secs
Energy = 30823970 (Ed=30179708, Es=644262), lower bound = 0.0, 0.213 secs
Energy = 30823829 (Ed=30179527, Es=644302), lower bound = 0.0, 0.228 secs
Energy = 30823820 (Ed=30179497, Es=644323), lower bound = 0.0, 0.242 secs
Energy = 30823515 (Ed=30179284, Es=644231), lower bound = 0.0, 0.256 secs
Energy = 30823510 (Ed=30179355, Es=644155), lower bound = 0.0, 0.267 secs
Energy = 30823118 (Ed=30178963, Es=644155), lower bound = 0.0, 0.281 secs
Energy = 30823490 (Ed=30179501, Es=643989), lower bound = 0.0, 0.293 secs
Energy = 30823059 (Ed=30179475, Es=643584), lower bound = 0.0, 0.308 secs
Energy = 30822823 (Ed=30179159, Es=643664), lower bound = 0.0, 0.321 secs
Energy = 30823073 (Ed=30179325, Es=643748), lower bound = 0.0, 0.336 secs
Energy = 30815802 (Ed=30168489, Es=647313), lower bound = 0.0, 0.350 secs
Energy = 30815763 (Ed=30168387, Es=647376), lower bound = 0.0, 0.364 secs
Energy = 30815648 (Ed=30168337, Es=647311), lower bound = 0.0, 0.379 secs
Energy = 30808593 (Ed=30163084, Es=645509), lower bound = 0.0, 0.394 secs
Energy = 30808581 (Ed=30163005, Es=645576), lower bound = 0.0, 0.409 secs
Energy = 30808390 (Ed=30163032, Es=645358), lower bound = 0.0, 0.423 secs
Energy = 30808333 (Ed=30162998, Es=645335), lower bound = 0.0, 0.436 secs
Energy = 30807318 (Ed=30160096, Es=647222), lower bound = 0.0, 0.451 secs
Energy = 30807318 (Ed=30160096, Es=647222), lower bound = 0.0, 0.464 secs
Energy = 30807278 (Ed=30160084, Es=647194), lower bound = 0.0, 0.477 secs
Energy = 30807212 (Ed=30160052, Es=647160), lower bound = 0.0, 0.491 secs
Energy = 30807212 (Ed=30160052, Es=647160), lower bound = 0.0, 0.506 secs
Energy = 30807212 (Ed=30160052, Es=647160), lower bound = 0.0, 0.520 secs
Energy = 30807062 (Ed=30160277, Es=646785), lower bound = 0.0, 0.534 secs
Energy = 30807062 (Ed=30160277, Es=646785), lower bound = 0.0, 0.549 secs
Energy = 30807059 (Ed=30160596, Es=646463), lower bound = 0.0, 0.563 secs
Energy = 30807037 (Ed=30160494, Es=646543), lower bound = 0.0, 0.577 secs
Energy = 30807036 (Ed=30160556, Es=646480), lower bound = 0.0, 0.592 secs
Energy = 30807036 (Ed=30160556, Es=646480), lower bound = 0.0, 0.606 secs
Energy = 30807036 (Ed=30160556, Es=646480), lower bound = 0.0, 0.620 secs
Energy = 30807036 (Ed=30160556, Es=646480), lower bound = 0.0, 0.634 secs
Energy = 30807036 (Ed=30160556, Es=646480), lower bound = 0.0, 0.649 secs
Energy = 30807036 (Ed=30160556, Es=646480), lower bound = 0.0, 0.664 secs
Energy = 30807036 (Ed=30160556, Es=646480), lower bound = 0.0, 0.679 secs
Energy = 30807036 (Ed=30160556, Es=646480), lower bound = 0.0, 0.694 secs
Energy = 30807036 (Ed=30160556, Es=646480), lower bound = 0.0, 0.708 secs
Energy = 30807112 (Ed=30160253, Es=646859), lower bound = 0.0, 0.722 secs
Energy = 30807034 (Ed=30160213, Es=646821), lower bound = 0.0, 0.737 secs
Energy = 30807034 (Ed=30160213, Es=646821), lower bound = 0.0, 0.751 secs
Energy = 30807034 (Ed=30160213, Es=646821), lower bound = 0.0, 0.766 secs
Energy = 30807034 (Ed=30160213, Es=646821), lower bound = 0.0, 0.781 secs
Energy = 30807034 (Ed=30160213, Es=646821), lower bound = 0.0, 0.792 secs
Energy = 30807034 (Ed=30160213, Es=646821), lower bound = 0.0, 0.804 secs
Energy = 30807034 (Ed=30160213, Es=646821), lower bound = 0.0, 0.816 secs
Energy = 30806509 (Ed=30160074, Es=646435), lower bound = 0.0, 0.830 secs
Energy = 30806216 (Ed=30159906, Es=646310), lower bound = 0.0, 0.844 secs
Energy = 30806216 (Ed=30159906, Es=646310), lower bound = 0.0, 0.854 secs
Energy = 30806216 (Ed=30159906, Es=646310), lower bound = 0.0, 0.865 secs
Energy = 30806216 (Ed=30159906, Es=646310), lower bound = 0.0, 0.878 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 0.892 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 0.906 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 0.919 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 0.933 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 0.945 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 0.959 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 0.973 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 0.986 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 1.003 secs
Energy = 30806066 (Ed=30159458, Es=646608), lower bound = 0.0, 1.021 secs
