sec,TRW-S,lowerBound,
0.014,221428658,,
0.030,31760477,0.0,
0.046,31751270,0.0,
0.062,31736752,0.0,
0.079,31735086,0.0,
0.095,31733393,0.0,
0.112,31733161,0.0,
0.128,31729508,0.0,
0.144,31729317,0.0,
0.161,31729309,0.0,
0.177,31728968,0.0,
0.194,31728627,0.0,
0.210,31728618,0.0,
0.228,31728156,0.0,
0.245,31727381,0.0,
0.263,31727381,0.0,
0.279,31727381,0.0,
0.297,31727381,0.0,
0.316,31727381,0.0,
0.333,31727381,0.0,
0.350,31727381,0.0,
0.367,31727381,0.0,
0.384,31727381,0.0,
0.401,31727381,0.0,
0.418,31727381,0.0,
0.435,31727381,0.0,
0.453,31727381,0.0,
0.470,31727381,0.0,
0.487,31727381,0.0,
0.504,31727381,0.0,
0.521,31727381,0.0,
0.539,31727381,0.0,
0.556,31727381,0.0,
0.572,31727381,0.0,
0.589,31727165,0.0,
0.606,31727165,0.0,
0.622,31727165,0.0,
0.639,31727165,0.0,
0.656,31727165,0.0,
0.673,31727165,0.0,
0.689,31727165,0.0,
0.705,31727165,0.0,
0.722,31727165,0.0,
0.738,31727165,0.0,
0.755,31727165,0.0,
0.772,31727165,0.0,
0.788,31727165,0.0,
0.805,31727165,0.0,
0.821,31727165,0.0,
0.838,31727165,0.0,
0.854,31727165,0.0,
0.870,31727165,0.0,
0.887,31727165,0.0,
0.905,31727165,0.0,
0.921,31727165,0.0,
0.938,31727165,0.0,
0.954,31727165,0.0,
0.970,31727165,0.0,
0.986,31727165,0.0,
1.003,31727165,0.0,
1.019,31727165,0.0,
1.035,31727165,0.0,
1.052,31727165,0.0,
1.068,31727165,0.0,
1.085,31727165,0.0,
1.102,31727165,0.0,
1.119,31727165,0.0,
1.135,31727165,0.0,
1.152,31727165,0.0,
1.169,31727165,0.0,
1.186,31727165,0.0,
1.205,31727165,0.0,
1.223,31727165,0.0,
1.240,31727165,0.0,
1.257,31727165,0.0,
1.275,31727165,0.0,
1.292,31727165,0.0,
1.309,31727165,0.0,
1.326,31727165,0.0,
1.343,31727165,0.0,
1.360,31727165,0.0,
1.377,31727165,0.0,
1.395,31727165,0.0,
1.414,31727165,0.0,
1.433,31727165,0.0,
1.453,31727165,0.0,
1.470,31727165,0.0,
1.488,31727165,0.0,
1.506,31727165,0.0,
1.522,31727165,0.0,
1.538,31727165,0.0,
1.555,31727165,0.0,
1.572,31727165,0.0,
1.588,31727165,0.0,
1.605,31727165,0.0,
1.621,31727165,0.0,
1.638,31727165,0.0,
1.654,31727165,0.0,
1.671,31727165,0.0,
1.688,31727165,0.0,
1.704,31727165,0.0,
1.721,31727165,0.0,
1.737,31727165,0.0,
1.754,31727165,0.0,
1.770,31727165,0.0,
1.786,31727165,0.0,
1.803,31727165,0.0,
1.820,31727165,0.0,
1.836,31727165,0.0,
1.854,31727165,0.0,
1.870,31727165,0.0,
1.888,31727165,0.0,
1.904,31727165,0.0,
1.921,31727165,0.0,
1.938,31727165,0.0,
1.956,31727165,0.0,
1.974,31727165,0.0,
1.991,31727165,0.0,
2.009,31727165,0.0,
2.027,31727165,0.0,
2.044,31727165,0.0,
2.062,31727165,0.0,
2.079,31727165,0.0,
2.097,31727165,0.0,
2.114,31727165,0.0,
2.132,31727165,0.0,
2.149,31727165,0.0,
2.166,31727165,0.0,
2.183,31727165,0.0,
2.200,31727165,0.0,
