./binary data/sponge.txt sponge 
******* Running ICM for up to 500 x 5 iterations
writing runtimes to sponge-ICM.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.001 secs init)
Energy = 35759864 (Ed=35110330, Es=649534), 0.089 secs
Energy = 35207567 (Ed=34610065, Es=597502), 0.177 secs
Energy = 34917154 (Ed=34338243, Es=578911), 0.268 secs
Energy = 34822365 (Ed=34252857, Es=569508), 0.359 secs
Energy = 34808219 (Ed=34241252, Es=566967), 0.451 secs
Energy = 34808219 (Ed=34241252, Es=566967), 0.541 secs
******* Running Expansion for up to 500 x 1 iterations
writing runtimes to sponge-Expansion.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.001 secs init)
Energy = 31727165 (Ed=31471232, Es=255933), 0.155 secs
Energy = 31727165 (Ed=31471232, Es=255933), 0.286 secs
******* Running Swap for up to 500 x 1 iterations
writing runtimes to sponge-Swap.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.001 secs init)
Energy = 31727165 (Ed=31471152, Es=256013), 0.168 secs
Energy = 31727165 (Ed=31471152, Es=256013), 0.331 secs
******* Running TRW-S for up to 500 x 1 iterations
writing runtimes to sponge-TRW-S.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.014 secs init)
Energy = 31760477 (Ed=31488519, Es=271958), lower bound = 0.0, 0.030 secs
Energy = 31751270 (Ed=31484602, Es=266668), lower bound = 0.0, 0.046 secs
Energy = 31736752 (Ed=31478503, Es=258249), lower bound = 0.0, 0.062 secs
Energy = 31735086 (Ed=31477861, Es=257225), lower bound = 0.0, 0.079 secs
Energy = 31733393 (Ed=31476985, Es=256408), lower bound = 0.0, 0.095 secs
Energy = 31733161 (Ed=31476707, Es=256454), lower bound = 0.0, 0.112 secs
Energy = 31729508 (Ed=31473879, Es=255629), lower bound = 0.0, 0.128 secs
Energy = 31729317 (Ed=31473376, Es=255941), lower bound = 0.0, 0.144 secs
Energy = 31729309 (Ed=31473156, Es=256153), lower bound = 0.0, 0.161 secs
Energy = 31728968 (Ed=31472595, Es=256373), lower bound = 0.0, 0.177 secs
Energy = 31728627 (Ed=31472788, Es=255839), lower bound = 0.0, 0.194 secs
Energy = 31728618 (Ed=31472783, Es=255835), lower bound = 0.0, 0.210 secs
Energy = 31728156 (Ed=31472939, Es=255217), lower bound = 0.0, 0.228 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.245 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.263 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.279 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.297 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.316 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.333 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.350 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.367 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.384 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.401 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.418 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.435 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.453 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.470 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.487 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.504 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.521 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.539 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.556 secs
Energy = 31727381 (Ed=31472093, Es=255288), lower bound = 0.0, 0.572 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.589 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.606 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.622 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.639 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.656 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.673 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.689 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.705 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.722 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.738 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.755 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.772 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.788 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.805 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.821 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.838 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.854 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.870 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.887 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.905 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.921 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.938 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.954 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.970 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 0.986 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.003 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.019 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.035 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.052 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.068 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.085 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.102 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.119 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.135 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.152 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.169 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.186 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.205 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.223 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.240 secs
