sec,BP-M,
0.048,4679501,
4.466,7776707,
8.724,1978853,
13.141,1871844,
17.524,1465801,
21.859,1372665,
26.178,1511910,
30.509,1245587,
34.874,901653,
39.243,1071824,
43.580,979116,
47.809,766756,
51.799,659767,
55.766,742578,
59.653,638401,
63.563,643538,
67.414,637212,
71.320,628940,
75.074,625776,
79.750,625031,
83.595,625031,
87.751,625812,
92.976,627017,
98.064,625839,
103.174,628856,
108.388,627888,
113.658,624217,
118.875,624217,
124.320,624215,
129.815,624299,
135.250,624451,
140.445,625536,
145.243,624307,
150.170,624307,
154.947,624307,
159.700,623881,
164.520,623583,
169.332,623583,
174.649,623583,
179.815,623583,
184.947,626692,
190.353,624307,
195.535,624307,
200.916,624307,
206.492,623881,
212.101,623583,
217.566,623583,
222.624,623583,
228.053,623583,
232.552,626692,
236.290,624307,
239.961,624307,
243.950,624307,
247.837,624877,
251.657,623583,
255.447,623583,
259.260,623583,
262.940,623583,
266.649,626692,
270.512,624565,
274.476,624307,
278.338,624307,
282.010,624863,
285.711,623583,
289.453,623583,
293.389,623583,
297.194,623583,
300.896,626692,
304.910,624514,
308.707,624307,
312.436,624307,
316.150,627300,
319.865,623583,
323.575,623583,
327.353,623583,
331.056,623583,
334.830,623583,
339.044,625485,
342.734,624307,
346.358,624307,
350.051,624307,
353.806,623583,
357.597,623583,
361.213,623583,
364.898,623583,
368.793,623583,
372.938,625485,
376.722,624307,
380.408,624307,
384.116,624307,
387.916,623881,
391.542,623583,
395.186,623583,
398.801,623583,
402.425,623583,
406.095,626692,
409.840,624307,
413.791,624307,
417.560,624307,
421.510,623881,
425.388,623583,
429.304,623583,
432.930,623583,
436.612,623583,
440.211,626692,
443.996,624307,
447.705,624307,
451.795,624307,
455.505,624877,
459.253,623583,
462.909,623583,
466.565,623583,
470.224,623583,
473.939,626692,
477.611,624565,
481.347,624307,
485.042,624307,
488.702,627300,
492.383,623583,
495.989,623583,
499.674,623583,
503.201,623583,
506.865,623583,
510.482,624514,
514.160,624307,
517.854,624307,
521.565,629265,
525.224,623583,
528.939,623583,
532.632,623583,
536.332,623583,
540.009,623583,
543.787,625485,
547.398,624307,
551.035,624307,
554.592,624307,
558.253,623583,
561.839,623583,
565.521,623583,
569.186,623583,
572.831,623583,
576.480,625485,
580.233,624307,
583.872,624307,
587.593,624307,
591.217,623881,
594.851,623583,
598.567,623583,
602.444,623583,
606.259,623583,
610.039,626692,
613.783,624307,
617.567,624307,
621.449,624307,
625.124,623881,
628.986,623583,
632.704,623583,
636.505,623583,
640.425,623583,
644.303,626692,
647.984,624565,
651.813,624307,
655.663,624307,
659.631,624863,
663.597,623583,
667.797,623583,
671.817,623583,
675.849,623583,
679.981,626692,
684.028,624514,
688.013,624307,
692.278,624307,
695.943,627300,
699.862,623583,
703.740,623583,
707.493,623583,
711.351,623583,
715.239,623583,
719.029,624514,
722.868,624307,
726.812,624307,
730.616,629265,
734.318,623583,
738.074,623583,
742.046,623583,
746.025,623583,
749.780,623583,
753.491,625485,
757.269,624307,
761.055,624307,
764.810,624307,
768.623,623583,
772.425,623583,
776.257,623583,
779.971,623583,
783.721,623583,
787.415,625485,
791.097,624307,
794.745,624307,
798.364,624307,
801.971,623881,
805.814,623583,
810.849,623583,
815.744,623583,
820.703,623583,
825.645,626692,
830.525,624307,
835.592,624307,
840.487,624307,
845.043,624877,
849.677,623583,
854.312,623583,
858.799,623583,
863.483,623583,
868.074,626692,
872.874,624565,
877.555,624307,
882.280,624307,
887.023,624863,
