sec,BP-S,
1.610,4679501,
1.860,6561806,
2.130,6186075,
2.428,5730800,
2.685,5513694,
2.937,5309781,
3.192,5100754,
3.431,4898577,
3.677,4696096,
3.912,4495474,
4.144,3996401,
4.394,3696845,
4.643,3596401,
4.892,3596401,
5.144,3596499,
5.387,3596401,
5.642,3596499,
5.883,3596401,
6.141,3596499,
6.385,3595588,
6.643,3595303,
6.895,3595205,
7.137,3594569,
7.384,3594667,
7.622,3594569,
7.864,3594667,
8.117,3594569,
8.354,3594667,
8.603,3594569,
8.834,3594667,
9.070,3594569,
9.321,3594569,
9.569,3594667,
9.808,3594569,
10.048,3594667,
10.285,3594569,
10.517,3594667,
10.759,3594569,
10.998,3594667,
11.247,3594569,
11.497,3594569,
11.740,3594667,
11.978,3594569,
12.229,3594667,
12.466,3594569,
12.712,3594667,
12.958,3594569,
13.223,3594667,
13.462,3594569,
13.704,3594569,
13.948,3594667,
14.182,3594569,
14.421,3594667,
14.675,3594569,
14.921,3594667,
15.168,3594569,
15.422,3594667,
15.655,3594569,
15.882,3594569,
16.128,3594667,
16.364,3594569,
16.663,3594667,
16.938,3594569,
17.198,3594667,
17.472,3594569,
17.709,3594667,
17.947,3594569,
18.182,3594569,
18.427,3594667,
18.686,3594569,
18.941,3594667,
19.200,3594569,
19.456,3594667,
19.743,3594569,
20.000,3594667,
20.271,3594569,
20.523,3594569,
20.772,3594667,
21.034,3594569,
21.272,3594667,
21.527,3594569,
21.769,3594667,
22.005,3594569,
22.259,3594667,
22.497,3594569,
22.755,3594569,
23.010,3594667,
23.265,3594569,
23.517,3594667,
23.758,3594569,
24.004,3594667,
24.258,3594569,
24.500,3594667,
24.793,3594569,
25.048,3594569,
25.296,3594667,
25.539,3594569,
25.789,3594667,
26.039,3594569,
26.298,3594667,
26.545,3594569,
26.778,3594667,
27.019,3594569,
27.256,3594569,
27.511,3594667,
27.768,3594569,
28.017,3594667,
28.265,3594569,
28.506,3594667,
28.763,3594569,
29.005,3594667,
29.260,3594569,
29.539,3594569,
29.805,3594667,
30.067,3594569,
30.317,3594667,
30.551,3594569,
30.797,3594667,
31.019,3594569,
31.262,3594667,
31.507,3594569,
31.757,3594569,
32.006,3594667,
32.249,3594569,
32.476,3594667,
32.719,3594569,
32.969,3594667,
33.224,3594569,
33.462,3594667,
33.695,3594569,
33.944,3594569,
34.183,3594667,
34.419,3594569,
34.664,3594667,
34.909,3594569,
35.157,3594667,
35.383,3594569,
35.632,3594667,
35.876,3594569,
36.110,3594569,
36.355,3594667,
36.627,3594569,
36.869,3594667,
37.130,3594569,
37.379,3594667,
37.638,3594569,
37.879,3594667,
38.120,3594569,
38.369,3594569,
38.626,3594667,
38.896,3594569,
39.140,3594667,
39.382,3594569,
39.637,3594667,
39.881,3594569,
40.135,3594667,
40.391,3594569,
40.629,3594569,
40.874,3594667,
41.121,3594569,
41.374,3594667,
41.626,3594569,
41.869,3594667,
42.120,3594569,
42.376,3594667,
42.616,3594569,
42.849,3594569,
43.099,3594667,
43.346,3594569,
43.600,3594667,
43.846,3594569,
44.098,3594667,
44.322,3594569,
44.565,3594667,
44.815,3594569,
45.062,3594569,
45.301,3594667,
45.537,3594569,
45.765,3594667,
46.004,3594569,
46.246,3594667,
46.483,3594569,
46.721,3594667,
46.974,3594569,
47.210,3594569,
47.451,3594667,
47.695,3594569,
47.921,3594667,
48.179,3594569,
48.422,3594667,
48.666,3594569,
48.919,3594667,
49.158,3594569,
49.396,3594569,
49.626,3594667,
49.880,3594569,
50.150,3594667,
50.395,3594569,
50.633,3594667,
50.876,3594569,
51.125,3594667,
51.384,3594569,
51.634,3594569,
51.875,3594667,
52.117,3594569,
52.379,3594667,
52.630,3594569,
52.874,3594667,
53.119,3594569,
53.374,3594667,
53.625,3594569,
53.879,3594569,
54.131,3594667,
54.380,3594569,
54.641,3594667,
54.879,3594569,
55.142,3594667,
55.408,3594569,
55.661,3594667,
55.896,3594569,
56.137,3594569,
56.385,3594667,
56.638,3594569,
56.890,3594667,
57.134,3594569,
57.375,3594667,
57.622,3594569,
57.881,3594667,
58.126,3594569,
58.367,3594569,
58.613,3594667,
58.851,3594569,
59.083,3594667,
59.344,3594569,
59.594,3594667,
59.842,3594569,
60.073,3594667,
60.322,3594569,
60.576,3594569,
60.836,3594667,
61.076,3594569,
61.313,3594667,
61.559,3594569,
61.803,3594667,
62.048,3594569,
62.293,3594667,
62.541,3594569,
62.783,3594569,
63.043,3594667,
63.289,3594569,
63.548,3594667,
63.799,3594569,
64.034,3594667,
64.283,3594569,
64.534,3594667,
64.779,3594569,
65.021,3594569,
65.285,3594667,
65.530,3594569,
65.772,3594667,
66.021,3594569,
66.259,3594667,
66.497,3594569,
66.748,3594667,
67.000,3594569,
67.249,3594569,
67.497,3594667,
67.741,3594569,
67.988,3594667,
68.224,3594569,
68.458,3594667,
68.695,3594569,
68.956,3594667,
69.204,3594569,
69.452,3594569,
69.693,3594667,
69.937,3594569,
70.189,3594667,
70.441,3594569,
70.699,3594667,
70.920,3594569,
71.166,3594667,
71.413,3594569,
71.673,3594569,
71.942,3594667,
72.184,3594569,
72.441,3594667,
72.697,3594569,
72.949,3594667,
73.194,3594569,
73.443,3594667,
73.684,3594569,
73.930,3594569,
74.175,3594667,
74.431,3594569,
74.682,3594667,
74.936,3594569,
75.190,3594667,
75.437,3594569,
75.680,3594667,
75.923,3594569,
76.156,3594569,
76.421,3594667,
76.664,3594569,
76.901,3594667,
77.155,3594569,
77.392,3594667,
77.636,3594569,
77.876,3594667,
78.125,3594569,
78.363,3594569,
78.607,3594667,
78.837,3594569,
79.086,3594667,
79.325,3594569,
79.571,3594667,
79.797,3594569,
80.035,3594667,
80.296,3594569,
80.530,3594569,
80.791,3594667,
81.033,3594569,
81.273,3594667,
81.505,3594569,
