sec,Dual Decomposition,
0.102,4679501,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
0.660,1471200000,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
