sec,TRW-S,lowerBound,
2.087,4679501,,
2.377,9144986,41401.6,
2.710,7217644,53408.5,
3.070,10808453,61368.7,
3.425,10935277,67520.5,
3.770,11024549,72624.9,
4.127,10916744,77034.3,
4.476,10791454,80976.5,
4.814,10881348,84551.8,
5.166,10780042,87847.6,
5.519,10718124,90887.0,
5.867,10703611,93686.3,
6.207,10598768,96271.5,
6.544,6391099,98666.9,
6.891,6184378,100881.4,
7.240,5982772,102929.7,
7.590,7411088,104852.2,
7.931,7003391,106669.0,
8.286,6980900,108401.1,
8.646,6963104,110056.8,
9.000,8663412,111647.0,
9.358,8766553,113179.8,
9.710,8663381,114639.3,
10.067,8538739,116040.1,
10.422,8529389,117381.1,
10.771,8410814,118681.9,
11.130,8292876,119939.4,
11.479,8196287,121153.7,
11.825,8186973,122325.6,
12.175,8077890,123467.0,
12.538,7978579,124562.1,
12.893,7981760,125623.0,
13.259,7900126,126649.4,
13.605,7799754,127641.6,
13.968,5351346,128604.8,
14.321,5356771,129545.2,
14.666,5352159,130457.3,
15.011,5354879,131344.6,
15.371,5332176,132210.5,
15.722,5329673,133053.4,
16.039,5329300,133870.5,
16.360,5321248,134663.1,
16.685,5320062,135431.7,
16.998,5419571,136177.6,
17.327,5415941,136910.4,
17.637,14235019,137626.4,
17.934,14226090,138321.1,
18.268,14196168,139000.8,
18.600,14191360,139666.1,
18.930,14194210,140314.8,
19.276,14092166,140946.7,
19.618,14094997,141561.3,
19.964,14095001,142160.9,
20.287,14094234,142745.9,
20.628,14096252,143318.3,
20.972,14093771,143877.8,
21.321,13988877,144429.5,
21.670,13862416,144971.6,
22.025,13763326,145504.6,
22.381,13759426,146026.3,
22.728,13740991,146536.7,
23.052,13745026,147037.8,
23.410,13843846,147527.0,
23.747,13855297,148008.6,
24.099,11850618,148483.2,
24.438,11808118,148946.7,
24.773,14106349,149402.2,
25.105,14403673,149850.0,
25.446,14403319,150292.8,
25.808,14393072,150728.4,
26.173,12391993,151152.4,
26.515,12391752,151569.9,
26.852,12681219,151979.1,
27.182,12680292,152378.9,
27.523,13478637,152774.3,
27.863,11668970,153159.9,
28.210,11668857,153536.8,
28.545,11567820,153909.1,
28.883,3540647,154271.9,
29.214,3540290,154628.2,
29.563,3544965,154980.0,
29.901,12989743,155326.2,
30.247,12989743,155662.6,
30.591,12988232,155986.2,
30.925,12952308,156305.3,
31.263,12856648,156619.9,
31.604,12756648,156926.0,
31.944,12755010,157227.6,
32.294,12759229,157523.1,
32.638,12783606,157813.5,
32.970,12684520,158099.0,
33.313,12569183,158380.0,
33.678,12570798,158655.5,
34.043,12581565,158927.1,
34.389,12375854,159195.8,
34.743,12338780,159461.6,
35.073,12334475,159724.6,
35.415,11332934,159984.6,
35.731,11535290,160241.7,
36.046,11436993,160495.9,
36.372,11438105,160746.8,
36.692,11441328,160994.8,
37.012,11441990,161239.4,
37.311,11443125,161480.5,
37.630,11415364,161718.5,
37.970,11415315,161954.7,
38.299,11316448,162189.2,
38.634,11292810,162421.2,
38.961,11592810,162651.2,
39.292,11592893,162878.3,
39.623,11586412,163101.9,
39.948,11586748,163323.1,
40.270,11585926,163540.5,
40.621,11589513,163755.1,
40.965,11591512,163966.3,
41.290,11592269,164174.6,
41.620,11583315,164380.1,
41.958,11571072,164582.4,
42.282,11773202,164782.2,
42.626,11769062,164978.8,
42.968,11769641,165172.8,
43.301,11769451,165364.6,
43.628,11773686,165554.6,
43.970,11776453,165742.8,
44.288,11877740,165927.7,
44.622,11892858,166110.5,
44.952,11892376,166290.0,
45.296,11893693,166466.7,
45.638,11893811,166640.8,
45.979,12033086,166813.0,
46.328,12030344,166982.4,
46.697,12035300,167149.5,
47.055,12069326,167314.5,
47.388,12168302,167476.4,
47.730,12174077,167635.5,
