sec,BP-M,
0.087,360200000,
8.229,968738,
16.298,355382,
24.296,344925,
33.223,359443,
41.926,334095,
52.455,309080,
62.970,284833,
73.824,273835,
84.952,266285,
95.518,265591,
105.538,257245,
115.463,254043,
125.659,257172,
136.205,250184,
147.013,248764,
158.200,251776,
169.604,248864,
180.569,248293,
188.453,246884,
195.890,246250,
204.039,244379,
211.895,243951,
219.670,243692,
227.630,243281,
235.528,242830,
243.174,242585,
251.178,242519,
259.090,242413,
266.971,243710,
274.657,243709,
282.496,242212,
290.348,242175,
298.344,242164,
306.051,242314,
313.826,242125,
321.492,242105,
329.715,242129,
337.462,242106,
345.194,242117,
352.669,243522,
360.188,243365,
368.154,242005,
376.118,241906,
384.262,241729,
391.848,241491,
399.505,241328,
407.562,241288,
415.298,241261,
422.902,241248,
430.647,241248,
438.401,241248,
446.077,241248,
453.715,241248,
461.136,241248,
468.724,241248,
476.455,241248,
484.138,241248,
491.814,241248,
499.581,241248,
507.088,241248,
514.554,241248,
522.107,241248,
529.694,241248,
537.394,241248,
545.003,241248,
552.570,241248,
560.452,241248,
568.322,241248,
576.275,241248,
584.155,241248,
592.083,241248,
600.113,241248,
607.915,241248,
616.020,241248,
624.415,241248,
632.897,241248,
641.231,241248,
649.525,241248,
657.577,241248,
665.523,241248,
673.566,241248,
681.619,241248,
689.424,241248,
697.388,241248,
705.454,241248,
713.201,241248,
720.991,241248,
728.924,241248,
736.723,241248,
744.459,241248,
752.033,241248,
759.506,241248,
769.495,241248,
779.531,241248,
789.498,241248,
799.242,241248,
808.889,241248,
818.477,241248,
828.129,241248,
837.744,241248,
847.361,241248,
857.190,241248,
866.367,241248,
874.087,241248,
881.747,241248,
889.521,241248,
897.673,241248,
905.974,241248,
914.401,241248,
922.312,241248,
929.991,241248,
937.704,241248,
945.349,241248,
952.908,241248,
960.620,241248,
968.232,241248,
975.851,241248,
983.795,241248,
991.888,241248,
1000.114,241248,
1008.015,241248,
1015.683,241248,
1023.257,241248,
1030.864,241248,
1038.333,241248,
1045.904,241248,
1053.494,241248,
1061.005,241248,
1068.645,241248,
1076.165,241248,
1083.686,241248,
1091.273,241248,
1098.960,241248,
1106.512,241248,
1114.089,241248,
1121.813,241248,
1129.339,241248,
1136.722,241248,
1144.298,241248,
1151.880,241248,
1159.442,241248,
1166.917,241248,
1174.531,241248,
1182.031,241248,
1189.512,241248,
1196.905,241248,
1204.338,241248,
1212.043,241248,
1219.601,241248,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
