sec,Dual Decomposition,
0.187,360200000,
1.159,1017973510,
2.212,1933973572,
3.155,554306276,
4.096,-1749293724,
5.063,-266093724,
6.013,-1297493724,
6.941,-636793724,
7.862,-425893724,
8.823,-1098293724,
9.760,-697593724,
10.688,-1082893724,
11.670,-1028793724,
12.605,-1312093724,
13.549,-990393724,
14.500,-1221593724,
15.459,-929593724,
16.396,-1136993724,
17.342,-1005293724,
18.258,-1142493724,
19.216,-1154893724,
20.151,-954793724,
21.120,-1227593724,
22.070,-1015093724,
23.058,-1167493724,
24.047,-1012793724,
25.065,-1236593724,
26.070,-1047193724,
27.092,-1086193724,
28.088,-1280993724,
29.095,-952993724,
30.127,-1269493724,
31.133,-1095093724,
32.097,-1190393724,
33.102,-1047493724,
34.094,-1240793724,
35.081,-1112093724,
36.088,-1370093724,
37.073,-1076993724,
38.111,-1139493724,
39.122,-1418793724,
40.108,-1139693724,
41.091,-1197493724,
42.159,-1106793724,
43.148,-1316793724,
44.137,-1117693724,
45.119,-1276893724,
46.115,-1283793724,
47.060,-1466793724,
48.016,-1036593724,
48.955,-1226693724,
49.918,-1050793724,
50.868,-1264293724,
51.870,-949693724,
52.820,-1067993724,
53.793,-957993724,
54.765,-1023393724,
55.730,-976993724,
56.676,-988993724,
57.620,-1113193724,
58.568,-1067193724,
59.508,-1167793724,
60.449,-1077093724,
61.396,-1310593724,
62.368,-1378993724,
63.320,-1254193724,
64.284,-1368393724,
65.231,-1194293724,
66.195,-1308793724,
67.131,-1227193724,
68.119,-1185593724,
69.097,-1097593724,
70.027,-1202593724,
70.998,-1367893724,
71.962,-1298193724,
72.891,-1249693724,
73.865,-1265893724,
74.799,-1383893724,
75.779,-1347993724,
76.750,-1259393724,
77.710,-1391393724,
78.671,-1297393724,
79.633,-1320593724,
80.592,-1186593724,
81.570,-1173593724,
82.641,-1307693724,
83.585,-1211093724,
84.585,-1157593724,
85.545,-1219693724,
86.508,-1288593724,
87.466,-1297593724,
88.431,-1262093724,
89.388,-1340093724,
90.335,-1174193724,
91.326,-1296893724,
92.278,-1250093724,
93.200,-1159993724,
94.170,-1231793724,
95.126,-1278893724,
96.066,-1116593724,
97.000,-1051793724,
97.944,-1214793724,
98.923,-1087693724,
99.878,-1292793724,
100.865,-1117793724,
101.816,-1139293724,
102.789,-1136493724,
103.729,-1157093724,
104.694,-1123593724,
105.670,-1078993724,
106.639,-983293724,
107.582,-1133593724,
108.564,-891393724,
109.556,-1199993724,
110.505,-920493724,
111.518,-1028893724,
112.465,-1155693724,
113.396,-1127493724,
114.365,-1157493724,
115.320,-1296193724,
116.258,-989093724,
117.222,-1226393724,
118.176,-1141893724,
119.116,-1283193724,
120.065,-1203993724,
121.023,-1320993724,
121.966,-1254193724,
122.947,-1196193724,
123.857,-1220393724,
124.823,-1186393724,
125.785,-1188293724,
126.750,-1222293724,
127.720,-1290893724,
128.671,-1250993724,
129.632,-1287893724,
130.584,-1231393724,
131.552,-1306993724,
132.514,-1273293724,
133.453,-1274393724,
134.413,-1234793724,
135.359,-1205793724,
136.291,-1185593724,
137.269,-1226093724,
138.220,-1112793724,
139.169,-1110593724,
140.135,-1115493724,
141.159,-1183593724,
142.126,-1201893724,
143.069,-1192493724,
144.023,-1198893724,
145.001,-1193993724,
145.972,-1185093724,
146.916,-1094193724,
147.893,-1044393724,
148.877,-1136093724,
149.884,-1139293724,
150.823,-1086193724,
151.778,-1102093724,
152.705,-1114593724,
153.677,-1105193724,
154.603,-1078393724,
155.568,-1050193724,
156.554,-1128893724,
157.547,-1119893724,
158.490,-1119493724,
159.453,-1093893724,
160.397,-1107093724,
161.330,-1096193724,
162.287,-1079693724,
163.200,-1100093724,
164.156,-1136093724,
165.231,-1182293724,
166.185,-1215693724,
167.141,-1222993724,
168.084,-1155793724,
169.030,-1148893724,
170.002,-1205993724,
170.982,-1221993724,
171.942,-1327193724,
172.905,-1348093724,
173.876,-1296493724,
174.833,-1210193724,
175.754,-1189593724,
176.733,-1120193724,
177.662,-1106193724,
178.635,-1114493724,
179.592,-1101393724,
180.551,-1057893724,
181.530,-1082493724,
182.510,-1086193724,
183.472,-1075293724,
184.428,-1029593724,
185.469,-964993724,
186.456,-1020793724,
187.415,-1054293724,
188.396,-1064293724,
189.366,-1092493724,
190.387,-1105993724,
191.389,-1094593724,
192.371,-1137293724,
193.340,-1185493724,
194.271,-1150093724,
195.255,-1102393724,
196.150,-1139093724,
197.109,-1163193724,
198.069,-1178693724,
199.025,-1164893724,
200.002,-1127993724,
200.977,-1114793724,
201.943,-1057993724,
202.911,-1068993724,
203.869,-1082893724,
204.833,-1107393724,
205.848,-1059893724,
206.892,-1132493724,
207.845,-1164693724,
208.805,-1158593724,
209.785,-1154793724,
210.746,-1215593724,
211.723,-1138693724,
212.664,-1149793724,
213.627,-1155493724,
214.554,-1092593724,
215.499,-1028993724,
216.424,-1113493724,
217.379,-1171193724,
218.315,-1216193724,
219.259,-1235693724,
220.241,-1230893724,
221.187,-1236893724,
222.147,-1223893724,
223.079,-1204593724,
224.026,-1166893724,
224.976,-1182593724,
225.909,-1102693724,
226.867,-1134093724,
227.803,-1170893724,
228.793,-1127593724,
229.781,-1123093724,
230.719,-1084793724,
231.749,-1097693724,
232.730,-1047393724,
233.689,-1151393724,
234.644,-1170693724,
235.611,-1159293724,
236.573,-1105193724,
237.519,-1051193724,
238.473,-1038993724,
239.424,-1062993724,
240.392,-1010693724,
241.326,-1033493724,
242.288,-1084493724,
243.225,-1045093724,
244.196,-1070593724,
245.144,-1063993724,
246.095,-1063693724,
247.048,-1092093724,
248.005,-1154793724,
248.982,-1159593724,
249.950,-1185993724,
250.897,-1174593724,
251.858,-1201093724,
252.773,-1188293724,
253.713,-1129093724,
254.676,-1135393724,
255.625,-1133993724,
256.589,-1079193724,
257.530,-1121293724,
258.495,-1073193724,
259.466,-1090793724,
260.432,-1119493724,
261.406,-1107793724,
262.368,-1091993724,
263.338,-1077493724,
264.284,-1102593724,
265.228,-1100993724,
266.163,-1065293724,
267.110,-1111793724,
268.062,-1134793724,
269.019,-1091993724,
269.969,-1109393724,
270.926,-1072393724,
271.882,-1043293724,
272.876,-1033093724,
273.848,-1060093724,
274.810,-1025393724,
275.799,-961693724,
276.765,-931293724,
277.715,-920193724,
278.670,-983593724,
279.588,-930293724,
280.543,-965293724,
281.533,-995293724,
282.496,-1010393724,
283.482,-1033993724,
284.441,-975993724,
285.375,-979993724,
286.365,-1016693724,
287.340,-987693724,
288.319,-1023393724,
289.299,-1024293724,
290.270,-1041993724,
291.243,-1033293724,
292.202,-1059493724,
293.228,-1010893724,
294.230,-950893724,
295.241,-948993724,
296.260,-1039093724,
297.237,-1019893724,
298.223,-1103393724,
299.168,-1057193724,
300.161,-1055293724,
301.155,-1035793724,
302.138,-1007993724,
303.111,-1063393724,
304.128,-1097893724,
305.103,-1119893724,
306.129,-1148093724,
307.149,-1180493724,
308.144,-1127193724,
309.128,-1055793724,
310.118,-1050993724,
311.123,-1051993724,
312.065,-1052693724,
313.043,-1075293724,
314.060,-1114393724,
315.005,-1084693724,
315.967,-1102493724,
316.927,-1084593724,
317.921,-1062693724,
318.898,-1109793724,
319.953,-1084393724,
320.929,-1120993724,
322.116,-1054693724,
323.439,-997493724,
324.616,-1043493724,
325.632,-912093724,
326.618,-904493724,
327.681,-966393724,
328.672,-982193724,
329.617,-1020393724,
330.665,-1138693724,
331.720,-1118193724,
332.858,-1115393724,
334.121,-1141893724,
335.236,-1128293724,
336.269,-1145393724,
337.316,-1152593724,
338.458,-1193893724,
339.567,-1219893724,
340.784,-1234193724,
341.911,-1224993724,
342.965,-1230793724,
344.001,-1227893724,
345.088,-1218293724,
346.147,-1192493724,
347.293,-1234893724,
348.493,-1257993724,
349.574,-1259293724,
350.682,-1244193724,
351.748,-1209193724,
352.838,-1239393724,
353.912,-1250593724,
354.919,-1257393724,
355.990,-1222893724,
357.038,-1173393724,
358.181,-1140193724,
359.341,-1150093724,
360.338,-1188293724,
361.384,-1148293724,
362.528,-1155293724,
