sec,TRW-S,lowerBound,
4.693,360200000,,
5.324,290528,109430.8,
5.909,306819,111372.7,
6.504,289497,112747.2,
7.094,271719,113878.8,
7.709,270268,114855.0,
8.331,278915,115729.5,
8.903,273335,116519.7,
9.497,258985,117252.7,
10.099,245419,117941.7,
10.693,262042,118593.0,
11.285,258108,119214.4,
11.888,245195,119804.1,
12.489,244354,120364.5,
13.082,243368,120904.7,
13.684,240201,121423.3,
14.290,243465,121923.3,
14.901,239633,122405.2,
15.506,237878,122867.7,
16.124,237649,123312.5,
16.721,222873,123744.2,
17.316,224362,124160.6,
17.902,218980,124558.4,
18.471,219607,124942.2,
19.047,216515,125313.7,
19.614,215943,125673.5,
20.193,212578,126023.5,
20.773,213318,126363.1,
21.354,214213,126693.5,
21.958,214852,127015.2,
22.558,214980,127327.5,
23.138,223895,127631.3,
23.703,222407,127926.9,
24.278,222219,128214.7,
24.869,223511,128496.0,
25.445,221831,128771.1,
26.014,218409,129041.2,
26.593,227156,129305.1,
27.184,227552,129562.3,
27.779,226481,129814.3,
28.376,227577,130060.5,
29.003,223995,130302.0,
29.599,217707,130538.6,
30.168,217455,130770.8,
30.741,216338,130998.1,
31.305,215998,131220.2,
31.838,214885,131437.6,
32.342,215297,131649.6,
32.846,213028,131858.0,
33.372,214582,132063.1,
33.917,214354,132264.3,
34.509,216160,132461.4,
35.045,217676,132653.3,
35.561,215584,132840.0,
36.068,219631,133023.8,
36.609,219502,133204.0,
37.149,221046,133380.9,
37.658,218957,133555.1,
38.167,218759,133726.2,
38.709,218088,133893.7,
39.242,217515,134057.8,
39.764,218026,134219.1,
40.332,218504,134377.8,
40.866,218307,134533.7,
41.375,218128,134687.0,
41.877,218746,134837.6,
42.382,218624,134986.1,
42.929,217886,135131.7,
43.524,217920,135275.0,
44.156,217086,135416.5,
44.688,216740,135556.3,
45.234,216668,135693.9,
45.796,217544,135829.5,
46.340,204981,135963.3,
46.864,204172,136094.7,
47.430,204157,136224.0,
48.030,208974,136351.0,
48.646,208510,136476.0,
49.189,209304,136599.3,
49.724,212142,136720.6,
50.318,212139,136840.1,
50.862,212396,136957.7,
51.391,213004,137073.9,
51.899,214702,137188.2,
52.396,214664,137300.8,
52.929,214514,137412.0,
53.438,214680,137521.6,
54.002,214736,137629.6,
54.584,214797,137736.1,
55.215,212480,137840.8,
55.830,212791,137944.2,
56.351,223639,138046.1,
56.955,223316,138146.5,
57.482,223311,138245.6,
58.048,223315,138343.1,
58.592,220386,138439.2,
59.161,220329,138533.8,
59.727,220462,138627.3,
60.239,220332,138719.5,
60.800,220574,138810.7,
61.368,218037,138900.5,
61.908,220018,138989.3,
62.425,220045,139076.9,
63.013,220149,139163.5,
63.570,220087,139249.1,
64.085,218667,139333.6,
64.614,218688,139417.2,
65.119,218365,139500.0,
65.640,218200,139581.8,
66.141,218034,139662.3,
66.652,218067,139741.8,
67.224,215983,139820.4,
67.741,215756,139898.1,
68.237,217075,139974.7,
68.765,216949,140050.4,
69.282,216854,140125.2,
69.803,216851,140198.8,
70.313,214189,140271.4,
70.851,213172,140343.1,
71.364,213168,140413.6,
71.861,212980,140483.2,
72.405,213026,140552.2,
72.926,211627,140620.1,
73.494,211723,140687.4,
74.061,211917,140754.1,
74.596,211517,140820.0,
75.118,208905,140885.1,
75.628,208857,140949.4,
76.126,208883,141013.0,
76.623,208865,141076.1,
77.134,209190,141138.2,
77.631,210958,141199.7,
78.142,211091,141260.9,
78.664,211070,141321.3,
79.185,212347,141381.0,
79.749,212181,141440.3,
80.318,211736,141499.0,
80.801,212223,141556.9,
81.346,212119,141613.8,
81.904,201364,141670.3,
82.427,201315,141726.1,
82.940,201449,141781.2,
83.461,201524,141835.7,
84.001,201531,141889.6,
84.521,202366,141942.8,
85.038,192880,141995.5,
85.573,192886,142047.5,
86.104,189161,142098.6,
86.613,189121,142149.2,
87.129,189071,142199.1,
87.675,189170,142248.1,
88.182,189989,142296.6,
88.699,190059,142344.6,
89.222,190848,142392.1,
89.730,189520,142439.1,
90.238,189512,142485.7,
90.728,189395,142531.8,
91.241,189809,142577.5,
91.757,189796,142622.7,
92.264,189853,142667.5,
92.761,189856,142711.8,
93.265,189559,142755.6,
93.777,189700,142799.2,
94.291,186846,142842.2,
94.836,186847,142884.8,
95.374,186994,142927.1,
95.887,186909,142968.9,
96.397,180911,143010.4,
96.895,180852,143051.5,
97.400,180852,143092.1,
97.924,180852,143132.3,
98.415,181301,143172.0,
98.900,181783,143211.3,
99.407,182269,143250.3,
99.915,182293,143289.0,
100.418,181653,143327.4,
100.932,181603,143365.5,
101.436,181359,143403.2,
101.951,181275,143440.5,
102.434,181301,143477.5,
102.930,180951,143514.2,
103.431,180958,143550.4,
103.973,180880,143586.2,
104.487,180880,143621.7,
105.017,180819,143657.0,
